hub_id,store_count,order_count,total_revenue,hub_name,hub_city,hub_state,revenue_per_store
8,65,52700,3961992.6,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,60953.73
29,40,25346,2830948.61,SUBWAY SHOPPING,SÃO PAULO,SP,70773.72
31,40,25316,2692298.01,PAGODE SHOPPING,SÃO PAULO,SP,67307.45
16,22,19875,1828050.42,PEOPLE SHOPPING,RIO DE JANEIRO,RJ,83093.2
28,28,20376,1710256.61,RAP SHOPPING,SÃO PAULO,SP,61080.59
36,26,16454,1543355.97,BLACK SHOPPING,PORTO ALEGRE,RS,59359.84
3,20,25144,1448719.64,GREEN SHOPPING,PORTO ALEGRE,RS,72435.98
55,3,10245,909748.62,ELIXIR SHOPPING,SÃO PAULO,SP,303249.54
